year,country,iso_code,commodity,production_tonnes,yield_t_per_ha,yoy_production_pct,yoy_yield_pct,yield_deviation_flag,enso_analog_flag,climate_region,section,provenance,yield_provenance
2000,Colombia,COL,Avocado,131664.0,6.68,,,0,0,Colombia-Andean-Hass-Belt,Section 2,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2001,Colombia,COL,Avocado,137065.0,6.84,4.1,2.395,0,0,Colombia-Andean-Hass-Belt,Section 2,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2002,Colombia,COL,Avocado,142700.0,6.95,4.11,1.608,0,1,Colombia-Andean-Hass-Belt,Section 2,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2003,Colombia,COL,Avocado,163177.0,6.72,14.35,-3.309,0,1,Colombia-Andean-Hass-Belt,Section 2,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2004,Colombia,COL,Avocado,170985.0,6.74,4.78,0.298,0,1,Colombia-Andean-Hass-Belt,Section 2,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2005,Colombia,COL,Avocado,171603.0,7.05,0.36,4.599,0,1,Colombia-Andean-Hass-Belt,Section 2,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2006,Colombia,COL,Avocado,191710.0,7.0,11.72,-0.709,0,1,Colombia-Andean-Hass-Belt,Section 2,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2007,Colombia,COL,Avocado,193996.0,7.35,1.19,5.0,0,1,Colombia-Andean-Hass-Belt,Section 2,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2008,Colombia,COL,Avocado,183968.0,7.24,-5.17,-1.497,0,0,Colombia-Andean-Hass-Belt,Section 2,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2009,Colombia,COL,Avocado,189029.0,6.9,2.75,-4.696,0,1,Colombia-Andean-Hass-Belt,Section 2,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2010,Colombia,COL,Avocado,205443.0,6.9,8.68,0.0,0,1,Colombia-Andean-Hass-Belt,Section 2,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2011,Colombia,COL,Avocado,215089.0,7.41,4.7,7.391,0,0,Colombia-Andean-Hass-Belt,Section 2,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2012,Colombia,COL,Avocado,255384.0,7.91,18.73,6.748,0,0,Colombia-Andean-Hass-Belt,Section 2,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2013,Colombia,COL,Avocado,294997.28,7.88,15.51,-0.379,0,0,Colombia-Andean-Hass-Belt,Section 2,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2014,Colombia,COL,Avocado,288739.25,8.64,-2.12,9.645,0,0,Colombia-Andean-Hass-Belt,Section 2,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2015,Colombia,COL,Avocado,309852.03,8.59,7.31,-0.579,0,1,Colombia-Andean-Hass-Belt,Section 2,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2016,Colombia,COL,Avocado,294389.28,8.32,-4.99,-3.143,0,1,Colombia-Andean-Hass-Belt,Section 2,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2017,Colombia,COL,Avocado,308166.0,7.33,4.68,-11.899,1,0,Colombia-Andean-Hass-Belt,Section 2,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2018,Colombia,COL,Avocado,445075.0,8.09,44.43,10.368,0,1,Colombia-Andean-Hass-Belt,Section 2,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2019,Colombia,COL,Avocado,535021.0,7.99,20.21,-1.236,0,1,Colombia-Andean-Hass-Belt,Section 2,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2020,Colombia,COL,Avocado,829146.7,9.01,54.97,12.766,0,0,Colombia-Andean-Hass-Belt,Section 2,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2021,Colombia,COL,Avocado,979617.75,9.16,18.15,1.665,0,0,Colombia-Andean-Hass-Belt,Section 2,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2022,Colombia,COL,Avocado,1090664.0,9.25,11.34,0.983,0,0,Colombia-Andean-Hass-Belt,Section 2,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2023,Colombia,COL,Avocado,1085765.8,9.05,-0.45,-2.162,0,1,Colombia-Andean-Hass-Belt,Section 2,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2024,Colombia,COL,Avocado,1267756.9,8.9,16.76,-1.657,0,1,Colombia-Andean-Hass-Belt,Section 2,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2000,Mexico,MEX,Avocado,907439.0,9.36,,,0,0,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2001,Mexico,MEX,Avocado,940229.0,9.44,3.61,0.855,0,0,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2002,Mexico,MEX,Avocado,901075.0,9.46,-4.16,0.212,0,1,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2003,Mexico,MEX,Avocado,905000.0,9.44,0.44,-0.211,0,1,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2004,Mexico,MEX,Avocado,987000.0,9.63,9.06,2.013,0,1,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2005,Mexico,MEX,Avocado,1021515.0,10.21,3.5,6.023,0,1,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2006,Mexico,MEX,Avocado,1134250.0,10.5,11.04,2.84,0,1,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2007,Mexico,MEX,Avocado,1142892.0,10.39,0.76,-1.048,0,1,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2008,Mexico,MEX,Avocado,1162429.0,10.28,1.71,-1.059,0,0,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2009,Mexico,MEX,Avocado,1230973.0,10.43,5.9,1.459,0,1,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2010,Mexico,MEX,Avocado,1107135.0,10.54,-10.06,1.055,0,1,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2011,Mexico,MEX,Avocado,1264141.0,10.36,14.18,-1.708,0,0,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2012,Mexico,MEX,Avocado,1316104.0,10.05,4.11,-2.992,0,0,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2013,Mexico,MEX,Avocado,1467837.0,10.33,11.53,2.786,0,0,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2014,Mexico,MEX,Avocado,1520695.0,0.01,3.6,-99.903,1,0,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,SIAP via GAIN MX2026-0019/MX2024-0018 — year 2014,DERIVED: SIAP production/area SOURCE: GAIN MX — year 2014
2015,Mexico,MEX,Avocado,1644226.0,0.01,8.12,0.0,1,1,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,SIAP via GAIN MX2026-0019/MX2024-0018 — year 2015,DERIVED: SIAP production/area SOURCE: GAIN MX — year 2015
2016,Mexico,MEX,Avocado,1889354.0,0.01,14.91,0.0,1,1,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,SIAP via GAIN MX2026-0019/MX2024-0018 — year 2016,DERIVED: SIAP production/area SOURCE: GAIN MX — year 2016
2017,Mexico,MEX,Avocado,2029886.0,0.011,7.44,10.0,1,0,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,SIAP via GAIN MX2026-0019/MX2024-0018 — year 2017,DERIVED: SIAP production/area SOURCE: GAIN MX — year 2017
2018,Mexico,MEX,Avocado,2184663.0,0.011,7.62,0.0,1,1,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,SIAP via GAIN MX2026-0019/MX2024-0018 — year 2018,DERIVED: SIAP production/area SOURCE: GAIN MX — year 2018
2019,Mexico,MEX,Avocado,2300889.0,0.011,5.32,0.0,0,1,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,SIAP via GAIN MX2026-0019/MX2024-0018 — year 2019,DERIVED: SIAP production/area SOURCE: GAIN MX — year 2019
2020,Mexico,MEX,Avocado,2393849.0,0.011,4.04,0.0,0,0,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,SIAP via GAIN MX2026-0019/MX2024-0018 — year 2020,DERIVED: SIAP production/area SOURCE: GAIN MX — year 2020
2021,Mexico,MEX,Avocado,2333368.0,0.01,-2.53,-9.091,1,0,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,SIAP via GAIN MX2026-0019/MX2024-0018 — year 2021,DERIVED: SIAP production/area SOURCE: GAIN MX — year 2021
2022,Mexico,MEX,Avocado,2603498.0,0.011,11.58,10.0,0,0,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,SIAP via GAIN MX2026-0019/MX2024-0018 — year 2022,DERIVED: SIAP production/area SOURCE: GAIN MX — year 2022
2023,Mexico,MEX,Avocado,2652499.0,0.011,1.88,0.0,0,1,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,SIAP via GAIN MX2026-0019/MX2024-0018 — year 2023,DERIVED: SIAP production/area SOURCE: GAIN MX — year 2023
2024,Mexico,MEX,Avocado,2669032.0,0.011,0.62,0.0,0,1,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,SIAP via GAIN MX2026-0019/MX2024-0018 — year 2024,DERIVED: SIAP production/area SOURCE: GAIN MX — year 2024
2025,Mexico,MEX,Avocado,2725080.0,0.011,2.1,0.0,0,0,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,SIAP via GAIN MX2026-0019/MX2024-0018 — year 2025,DERIVED: SIAP production/area SOURCE: GAIN MX — year 2025
2026,Mexico,MEX,Avocado,2800000.0,0.011,2.75,0.0,0,0,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,SIAP via GAIN MX2026-0019/MX2024-0018 — year 2026,DERIVED: SIAP production/area SOURCE: GAIN MX — year 2026
2000,World,OWID_WRL,Avocado,2705626.2,7.41,,,0,0,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2001,World,OWID_WRL,Avocado,2762552.5,7.64,2.1,3.104,0,0,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2002,World,OWID_WRL,Avocado,2943304.5,7.68,6.54,0.524,0,1,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2003,World,OWID_WRL,Avocado,3121497.0,7.73,6.05,0.651,0,1,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2004,World,OWID_WRL,Avocado,3164333.8,7.75,1.37,0.259,0,1,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2005,World,OWID_WRL,Avocado,3352808.0,7.79,5.96,0.516,0,1,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2006,World,OWID_WRL,Avocado,3572591.8,7.87,6.56,1.027,0,1,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2007,World,OWID_WRL,Avocado,3516965.5,7.9,-1.56,0.381,0,1,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2008,World,OWID_WRL,Avocado,3367356.2,7.84,-4.25,-0.759,0,0,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2009,World,OWID_WRL,Avocado,3832476.0,7.86,13.81,0.255,0,1,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2010,World,OWID_WRL,Avocado,3801776.0,7.89,-0.8,0.382,0,1,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2011,World,OWID_WRL,Avocado,4092747.2,7.9,7.65,0.127,0,0,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2012,World,OWID_WRL,Avocado,4338207.5,7.99,6.0,1.139,0,0,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2013,World,OWID_WRL,Avocado,4566843.5,8.01,5.27,0.25,0,0,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2014,World,OWID_WRL,Avocado,5091784.0,8.24,11.49,2.871,0,0,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2015,World,OWID_WRL,Avocado,5515354.5,8.41,8.32,2.063,0,1,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2016,World,OWID_WRL,Avocado,6029951.5,8.51,9.33,1.189,0,1,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2017,World,OWID_WRL,Avocado,6378614.0,8.43,5.78,-0.94,0,0,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2018,World,OWID_WRL,Avocado,6880608.0,8.59,7.87,1.898,0,1,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2019,World,OWID_WRL,Avocado,7296464.0,8.37,6.04,-2.561,0,1,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2020,World,OWID_WRL,Avocado,8266199.0,8.3,13.29,-0.836,0,0,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2021,World,OWID_WRL,Avocado,8838169.0,8.35,6.92,0.602,0,0,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2022,World,OWID_WRL,Avocado,9581225.0,8.67,8.41,3.832,0,0,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2023,World,OWID_WRL,Avocado,10672980.0,9.1,11.39,4.96,0,1,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2024,World,OWID_WRL,Avocado,11226086.0,9.52,5.18,4.615,0,1,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2000,Peru,PER,Avocado,83671.0,,,,0,0,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2001,Peru,PER,Avocado,93459.0,,11.7,,0,0,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2002,Peru,PER,Avocado,94236.0,,0.83,,0,1,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2003,Peru,PER,Avocado,99975.0,,6.09,,0,1,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2004,Peru,PER,Avocado,108460.0,,8.49,,0,1,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2005,Peru,PER,Avocado,103417.0,,-4.65,,0,1,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2006,Peru,PER,Avocado,113259.0,,9.52,,0,1,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2007,Peru,PER,Avocado,121720.0,,7.47,,0,1,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2008,Peru,PER,Avocado,136303.0,,11.98,,0,0,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2009,Peru,PER,Avocado,157415.0,,15.49,,0,1,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2010,Peru,PER,Avocado,184370.0,,17.12,,0,1,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2011,Peru,PER,Avocado,213662.0,,15.89,,0,0,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2012,Peru,PER,Avocado,268525.28,,25.68,,0,0,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2013,Peru,PER,Avocado,288387.0,,7.4,,0,0,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2014,Peru,PER,Avocado,349317.0,,21.13,,0,0,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2015,Peru,PER,Avocado,367110.0,,5.09,,0,1,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2016,Peru,PER,Avocado,455394.16,,24.05,,0,1,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2017,Peru,PER,Avocado,466796.0,,2.5,,0,0,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2018,Peru,PER,Avocado,504839.75,,8.15,,0,1,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2019,Peru,PER,Avocado,571991.9,,13.3,,0,1,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2020,Peru,PER,Avocado,672232.25,,17.52,,0,0,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2021,Peru,PER,Avocado,776650.94,,15.53,,0,0,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2022,Peru,PER,Avocado,798319.1,,2.79,,0,0,Peru-Coastal-Hass-Valleys,Section 3,OWID avocado-production.csv,
2023,Peru,PER,Avocado,813000.0,12.5,1.84,,0,1,Peru-Coastal-Hass-Valleys,Section 3,USDA GAIN PE2025-0005 — year 2023,USDA GAIN PE2025-0005 — year 2023
2024,Peru,PER,Avocado,804000.0,12.0,-1.11,-4.0,0,1,Peru-Coastal-Hass-Valleys,Section 3,USDA GAIN PE2025-0005 — year 2024,USDA GAIN PE2025-0005 — year 2024
2025,Peru,PER,Avocado,844000.0,12.1,4.98,0.833,0,0,Peru-Coastal-Hass-Valleys,Section 3,USDA GAIN PE2025-0005 — year 2025,USDA GAIN PE2025-0005 — year 2025
