"Category","Precipitation (Annual Mean mm)","5-year smooth (Gaussian Smooth)"
1901,494.33,493.7
1902,494.33,494.17
1903,494.33,494.59
1904,494.33,494.89
1905,494.33,495.03
1906,494.33,494.95
1907,494.33,494.6
1908,494.33,494.07
1909,494.33,493.52
1910,494.33,493.13
1911,494.33,493.06
1912,494.33,493.47
1913,494.33,494.36
1914,494.33,495.43
1915,494.33,496.34
1916,494.33,496.76
1917,494.33,496.37
1918,494.33,494.97
1919,494.33,493.01
1920,494.33,491.11
1921,494.33,489.93
1922,494.33,490.07
1923,494.33,492.1
1924,494.33,495.6
1925,494.33,499.31
1926,494.33,502.03
1927,494.33,502.54
1928,494.33,499.6
1929,493.92,493.17
1930,492.54,485.43
1931,490.79,478.76
1932,488.58,475.57
1933,485.49,478.28
1934,509.03,488.38
1935,481.05,502.62
1936,489.92,516.27
1937,498.65,524.48
1938,468.82,522.53
1939,556.82,505.99
1940,495.27,476.68
1941,550.31,441.98
1942,486.42,409.18
1943,215.58,385.68
1944,142.27,378.82
1945,458.25,391.72
1946,772.8,418.32
1947,296.36,451.4
1948,543.17,483.86
1949,374.93,508.32
1950,633.86,518.9
1951,402.05,516.99
1952,470.23,506.65
1953,575.64,492.04
1954,504.7,477.23
1955,421.56,466.19
1956,471.39,460.16
1957,440.82,457.87
1958,518.07,457.88
1959,464.17,458.78
1960,440.17,459.15
1961,370.62,458.19
1962,383.11,456.53
1963,481.44,455
1964,583.32,454.44
1965,677.35,455.71
1966,337.25,459.46
1967,487.4,465.12
1968,328.52,471.62
1969,362.09,477.83
1970,363.96,482.68
1971,441.89,485.12
1972,690.85,484.95
1973,641.06,482.87
1974,547,479.62
1975,560.43,475.96
1976,354.1,472.63
1977,476.05,470.02
1978,330.6,467.56
1979,296.64,464.51
1980,452.4,460.09
1981,471.84,453.61
1982,590.03,444.5
1983,537.73,433.77
1984,465.32,423.15
1985,313.33,414.45
1986,439.5,409.39
1987,397.5,409.68
1988,391.69,415.51
1989,475.86,425.2
1990,356.84,437
1991,335.65,449.15
1992,344.35,459.93
1993,715.12,468.22
1994,650.66,475.14
1995,362.08,482.19
1996,465.99,490.91
1997,451.04,502.76
1998,514.98,518.97
1999,607.21,538.19
2000,466.4,557.76
2001,512.68,574.82
2002,661.9,586.7
2003,733.98,590.71
2004,622.73,586.47
2005,313.27,576.76
2006,688.8,564.54
2007,412.85,552.75
2008,625.25,544.35
2009,699.6,541.64
2010,574.85,544.39
2011,384.61,551.88
2012,479.83,563.41
2013,749.05,578.17
2014,407.53,595.34
2015,815.71,612.7
2016,390.05,627.25
2017,1046.12,635.89
2018,492.03,635.61
2019,462.1,623.43
2020,335.63,598.4
2021,1007.24,563
2022,391.24,519.79
2023,557.15,471.37
2024,338.58,420.19